dataset,nn_model,interval_variant,candidate_id,folds,assets,n_rows,n_urgent_critical,n_critical,RMSE,MAE,R2,empirical_coverage,urgent_critical_coverage,critical_coverage,point_false_safe_rate,interval_false_safe_rate,false_safe_reduction,point_underwarning_rate,interval_underwarning_rate,underwarning_reduction,point_overwarning_rate,interval_overwarning_rate,overwarning_increase,mean_interval_width,median_interval_width,strict_promotion,blocking_reason,gate_pass_count,gate_rank_score
PRONOSTIA/FEMTO,GRU_SEQUENCE,global_90,GRU_SEQUENCE__global_90,6,6,8149,2099,841,0.18161171280921642,0.14469362753231366,0.5824288512641942,0.7268376487912628,0.950929013816103,0.906064209274673,0.00012271444348999877,0.0,0.00012271444348999877,0.12565959013375874,0.007608295496379924,0.11805129463737882,0.3492453061725365,0.5762670266290343,0.22702172045649777,0.34317429398525756,0.3746007342604256,False,coverage 0.727<0.88,6,306.7515557112502
PRONOSTIA/FEMTO,GRU_SEQUENCE,global_95,GRU_SEQUENCE__global_95,6,6,8149,2099,841,0.18161171280921642,0.14469362753231366,0.5824288512641942,0.7771505706221622,0.9637922820390662,0.9179548156956004,0.00012271444348999877,0.0,0.00012271444348999877,0.12565959013375874,0.005522149957049945,0.1201374401767088,0.3492453061725365,0.6044913486317339,0.2552460424591974,0.3884729334865705,0.4020777431293505,False,coverage 0.777<0.88,6,306.9639761142939
PRONOSTIA/FEMTO,GRU_SEQUENCE,global_99,GRU_SEQUENCE__global_99,6,6,8149,2099,841,0.18161171280921642,0.14469362753231366,0.5824288512641942,0.8510246656031415,0.9771319676036208,0.9476813317479191,0.00012271444348999877,0.0,0.00012271444348999877,0.12565959013375874,0.003926862191679961,0.12173272794207878,0.3492453061725365,0.6740704380905632,0.3248251319180267,0.45226842350973034,0.47060874724664936,False,coverage 0.851<0.88,6,307.25911435141074
PRONOSTIA/FEMTO,GRU_SEQUENCE,twosided_guard_l97_u90_b12,GRU_SEQUENCE__twosided_guard_l97_u90_b12,6,6,8149,2099,841,0.18161171280921642,0.14469362753231366,0.5824288512641942,0.6782427291692232,0.9223439733206289,0.9464922711058263,0.00012271444348999877,0.0,0.00012271444348999877,0.12565959013375874,0.004540434409129954,0.1211191557246288,0.3492453061725365,0.6140630752239539,0.26481776905141735,0.34553462590090966,0.35895479882257225,False,coverage 0.678<0.88,6,306.3895202873268
PRONOSTIA/FEMTO,MLP_TABULAR,global_90,MLP_TABULAR__global_90,6,6,8383,2099,841,0.27047353819798065,0.2285713174978944,0.12338483353260521,0.8939520458069904,0.7460695569318723,0.36623067776456597,0.07360133603721818,0.0,0.07360133603721818,0.3223189788858404,0.0,0.3223189788858404,0.28092568292973874,0.8866754145294048,0.605749731599666,0.8492450705343196,0.8669400257942006,False,urgent 0.746<0.80; width 0.849>0.50; full-width reject,4,205.7555483156938
PRONOSTIA/FEMTO,MLP_TABULAR,global_95,MLP_TABULAR__global_95,6,6,8383,2099,841,0.27047353819798065,0.2285713174978944,0.12338483353260521,0.9471549564595013,0.8789899952358265,0.6979785969084423,0.07360133603721818,0.0,0.07360133603721818,0.3223189788858404,0.0,0.3223189788858404,0.28092568292973874,0.8900155075748539,0.6090898246451152,0.9095186913753827,0.9298280351966093,False,width 0.910>0.50; full-width reject,5,256.43269738049
PRONOSTIA/FEMTO,MLP_TABULAR,global_99,MLP_TABULAR__global_99,6,6,8383,2099,841,0.27047353819798065,0.2285713174978944,0.12338483353260521,0.9889061195276154,0.9838018103858981,0.9595719381688466,0.07360133603721818,0.0,0.07360133603721818,0.3223189788858404,0.0,0.3223189788858404,0.28092568292973874,0.8949063581056901,0.6139806751759513,0.9598183604602163,0.9859171597633136,False,width 0.960>0.50; full-width reject,5,256.9601011182612
PRONOSTIA/FEMTO,MLP_TABULAR,twosided_guard_l97_u90_b12,MLP_TABULAR__twosided_guard_l97_u90_b12,6,6,8383,2099,841,0.27047353819798065,0.2285713174978944,0.12338483353260521,0.88548252415603,0.9642686993806574,0.9108204518430439,0.07360133603721818,0.0,0.07360133603721818,0.3223189788858404,0.0,0.3223189788858404,0.28092568292973874,0.889776929500179,0.6088512465704402,0.8211248918605353,0.8600859260559084,False,width 0.821>0.50; full-width reject,5,256.6422376345817
PRONOSTIA/FEMTO,NN_ENSEMBLE_INTERVAL_ENVELOPE,global_90,NN_ENSEMBLE_INTERVAL_ENVELOPE__global_90,6,6,8149,2099,841,0.16912898386203196,0.14125876047447505,0.6378580341105683,0.9938642778255,0.9761791329204383,0.9405469678953626,0.0007362866609399927,0.0,0.0007362866609399927,0.20591483617621795,0.0,0.20591483617621795,0.25622775800711745,0.8944655785986011,0.6382378205914836,0.8924409775975379,0.9128145258631228,False,width 0.892>0.50; full-width reject,5,257.08915596561417
PRONOSTIA/FEMTO,NN_ENSEMBLE_INTERVAL_ENVELOPE,global_95,NN_ENSEMBLE_INTERVAL_ENVELOPE__global_95,6,6,8149,2099,841,0.16912898386203196,0.14125876047447505,0.6378580341105683,0.99644128113879,0.9861838970938542,0.9655172413793104,0.0007362866609399927,0.0,0.0007362866609399927,0.20591483617621795,0.0,0.20591483617621795,0.25622775800711745,0.895938151920481,0.6397103939133635,0.9373914616535728,0.9527769025966262,False,width 0.937>0.50; full-width reject,5,257.05215907076223
PRONOSTIA/FEMTO,NN_ENSEMBLE_INTERVAL_ENVELOPE,global_99,NN_ENSEMBLE_INTERVAL_ENVELOPE__global_99,6,6,8149,2099,841,0.16912898386203196,0.14125876047447505,0.6378580341105683,0.99914099889557,0.9966650786088613,0.9916765755053508,0.0007362866609399927,0.0,0.0007362866609399927,0.20591483617621795,0.0,0.20591483617621795,0.25622775800711745,0.896551724137931,0.6403239661308135,0.9749037750002576,0.9875407065839119,False,width 0.975>0.50; full-width reject,5,257.0325577589128
PRONOSTIA/FEMTO,NN_ENSEMBLE_INTERVAL_ENVELOPE,twosided_guard_l97_u90_b12,NN_ENSEMBLE_INTERVAL_ENVELOPE__twosided_guard_l97_u90_b12,6,6,8149,2099,841,0.16912898386203196,0.14125876047447505,0.6378580341105683,0.99055098785127,1.0,1.0,0.0007362866609399927,0.0,0.0007362866609399927,0.20591483617621795,0.0,0.20591483617621795,0.25622775800711745,0.896551724137931,0.6403239661308135,0.8578623262984008,0.869528014716312,False,width 0.858>0.50; full-width reject,5,257.23703028665955
PRONOSTIA/FEMTO,TCN_LITE_SEQUENCE,global_90,TCN_LITE_SEQUENCE__global_90,6,6,8149,2099,841,0.23108182418399162,0.17041959601663514,0.3239569535937368,0.5265676770155847,0.7317770366841353,0.8442330558858502,0.004049576635169959,0.0,0.004049576635169959,0.09191311817400909,0.02380660203705976,0.06810651613694932,0.34679101730273654,0.597005767578844,0.2502147502761075,0.2591800055706028,0.2676417584838362,False,coverage 0.527<0.88; urgent 0.732<0.80,5,255.04158652067326
PRONOSTIA/FEMTO,TCN_LITE_SEQUENCE,global_95,TCN_LITE_SEQUENCE__global_95,6,6,8149,2099,841,0.23108182418399162,0.17041959601663514,0.3239569535937368,0.6633942815069334,0.8966174368747022,0.845422116527943,0.004049576635169959,0.0,0.004049576635169959,0.09191311817400909,0.020370597619339795,0.0715425205546693,0.34679101730273654,0.6278070928948337,0.2810160755920972,0.3391652042376325,0.31462486251345223,False,coverage 0.663<0.88,6,306.2251107465582
PRONOSTIA/FEMTO,TCN_LITE_SEQUENCE,global_99,TCN_LITE_SEQUENCE__global_99,6,6,8149,2099,841,0.23108182418399162,0.17041959601663514,0.3239569535937368,0.8204687691741318,0.9137684611719866,0.8513674197384067,0.004049576635169959,0.0,0.004049576635169959,0.09191311817400909,0.01509387654926985,0.07681924162473924,0.34679101730273654,0.6590992759847835,0.3123082586820469,0.44168039077657595,0.4191430860174632,False,coverage 0.820<0.88,6,306.87405690900545
PRONOSTIA/FEMTO,TCN_LITE_SEQUENCE,twosided_guard_l97_u90_b12,TCN_LITE_SEQUENCE__twosided_guard_l97_u90_b12,6,6,8149,2099,841,0.23108182418399162,0.17041959601663514,0.3239569535937368,0.46692845747944534,0.6141019533111005,0.746730083234245,0.004049576635169959,0.0,0.004049576635169959,0.09191311817400909,0.014603018775309853,0.07731009939869923,0.34679101730273654,0.6733341514296233,0.32654313412688674,0.2626140379507239,0.2575441786305822,False,coverage 0.467<0.88; urgent 0.614<0.80,5,254.26582202474017
